+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,@,@,@,@,@,@,@,@,@,@,+,+,+,+,+
+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
